iter	Logloss	Accuracy
319	0.1577622266	0.9439885496
320	0.1575242515	0.9440839695
321	0.1573866256	0.9440839695
322	0.1572207767	0.9440839695
323	0.1569237233	0.9441793893
324	0.156662449	0.944370229
325	0.1563658943	0.9446564885
326	0.1563334703	0.9447519084
327	0.1562165907	0.9448473282
328	0.1560311056	0.9451335878
329	0.1559279748	0.9451335878
330	0.1557947617	0.9452290076
331	0.1557027862	0.9453244275
332	0.1554515075	0.9457061069
333	0.1552418369	0.9458015267
334	0.1550010533	0.9458969466
335	0.1547540513	0.9460877863
336	0.1546223631	0.946278626
337	0.1545253967	0.9465648855
338	0.1542935885	0.9465648855
339	0.1541323409	0.9465648855
340	0.1539564715	0.9466603053
341	0.153776304	0.9466603053
342	0.1534942574	0.9466603053
343	0.1533087517	0.9467557252
344	0.1532834395	0.9467557252
345	0.1531512172	0.9470419847
346	0.1530011853	0.9471374046
347	0.1529521022	0.9471374046
348	0.1528008483	0.9474236641
349	0.152624298	0.9477099237
350	0.1523852279	0.9477099237
351	0.1521949131	0.9479961832
352	0.1520862299	0.9480916031
353	0.1519101529	0.9480916031
354	0.1517996561	0.9481870229
355	0.1517168224	0.9479961832
356	0.151575654	0.9481870229
357	0.1514181442	0.9482824427
358	0.1513079536	0.9481870229
359	0.1511341144	0.9480916031
360	0.1509534017	0.9481870229
361	0.1508169596	0.9482824427
362	0.1507205613	0.9482824427
363	0.1505658578	0.9482824427
364	0.1505399042	0.9482824427
365	0.1503724096	0.9483778626
366	0.1502053039	0.9485687023
367	0.1499740081	0.948759542
368	0.1497419471	0.948759542
369	0.1495681074	0.9491412214
370	0.1494307804	0.9494274809
371	0.1492341953	0.9492366412
372	0.149148362	0.9495229008
373	0.1490318291	0.9495229008
374	0.1488805253	0.9495229008
375	0.1487332085	0.9496183206
376	0.1486042577	0.9497137405
377	0.1485121944	0.9495229008
378	0.1484097943	0.9495229008
379	0.1483587033	0.9495229008
380	0.1482189158	0.9493320611
381	0.1479860021	0.9493320611
382	0.1478272613	0.9498091603
383	0.1476710501	0.9499045802
384	0.1476010673	0.9499045802
385	0.1474011862	0.95
386	0.1471336597	0.9500954198
387	0.1469806908	0.9501908397
388	0.1468350816	0.9504770992
389	0.1466619662	0.9509541985
390	0.1465057365	0.9510496183
391	0.1463261199	0.9511450382
392	0.146092142	0.9513358779
393	0.1459573223	0.9513358779
394	0.1457968922	0.9515267176
395	0.1457332584	0.9517175573
396	0.145527548	0.9516221374
397	0.1453877134	0.9516221374
398	0.1452637722	0.9518129771
399	0.1450993734	0.9518129771
400	0.1450819078	0.9518129771
401	0.1448493547	0.9518129771
402	0.1446689339	0.9519083969
403	0.1444838368	0.9521946565
404	0.1442753776	0.9520992366
405	0.1440925836	0.9521946565
406	0.1440686121	0.9522900763
407	0.1439128074	0.9521946565
408	0.1438087196	0.9522900763
409	0.1436456118	0.9523854962
410	0.1435625199	0.952480916
411	0.1433612984	0.9523854962
412	0.1431045585	0.9526717557
413	0.1427888312	0.9529580153
414	0.1426575563	0.9528625954
415	0.1425205122	0.9529580153
416	0.1422943684	0.9530534351
417	0.1421755492	0.9529580153
418	0.14195065	0.9529580153
419	0.1418288195	0.953148855
420	0.1417522611	0.9532442748
421	0.1416680643	0.9534351145
422	0.1415474801	0.9532442748
423	0.1414404407	0.9534351145
424	0.1414003771	0.9534351145
425	0.1412469455	0.9539122137
426	0.1410833624	0.9539122137
427	0.1409628359	0.9538167939
428	0.1407202236	0.9538167939
429	0.1405534691	0.9539122137
430	0.1404325729	0.9541030534
431	0.140324716	0.9541984733
432	0.140216137	0.9544847328
433	0.1400967155	0.954389313
434	0.1399694675	0.954389313
435	0.1398786971	0.9545801527
436	0.1397500521	0.9549618321
437	0.1396692865	0.9550572519
438	0.1394804232	0.9552480916
439	0.1393609592	0.9553435115
440	0.1392453913	0.9553435115
441	0.139165648	0.9554389313
442	0.1390424255	0.9553435115
443	0.1389367648	0.9555343511
444	0.1388252407	0.9557251908
445	0.1386511255	0.9559160305
446	0.138505165	0.9558206107
447	0.1383459309	0.9559160305
448	0.1381282682	0.9559160305
449	0.1379568416	0.9561068702
450	0.1378373843	0.9562022901
451	0.1377213504	0.9562977099
452	0.1375890704	0.9566793893
453	0.1374177651	0.9567748092
454	0.1372272094	0.9567748092
455	0.1370989605	0.9567748092
456	0.136947042	0.956870229
457	0.1367997928	0.956870229
458	0.136738041	0.9570610687
459	0.1366110709	0.9572519084
460	0.1365047668	0.9571564885
461	0.1363791081	0.9573473282
462	0.1362825939	0.9572519084
463	0.1362173932	0.9573473282
464	0.1360287052	0.9574427481
465	0.1358563281	0.9574427481
466	0.135705245	0.9574427481
467	0.1355456126	0.9574427481
468	0.1355085886	0.9575381679
469	0.1353470154	0.9574427481
470	0.1352533623	0.9574427481
471	0.1351447864	0.9575381679
472	0.1350117977	0.9574427481
473	0.1349223823	0.9574427481
474	0.1348099035	0.9576335878
475	0.1347768111	0.9576335878
476	0.1346801625	0.9576335878
477	0.1345380262	0.9577290076
478	0.1343810992	0.9577290076
479	0.1342388868	0.9580152672
480	0.1340753825	0.9579198473
481	0.1339066928	0.958110687
482	0.1337711141	0.9580152672
483	0.1336733067	0.9582061069
484	0.1335107823	0.9582061069
485	0.133453826	0.9583015267
486	0.1334261441	0.9583015267
487	0.1332600977	0.9583015267
488	0.1330825311	0.9583015267
489	0.1329486206	0.9583969466
490	0.1328838378	0.9583969466
491	0.1328287183	0.9583969466
492	0.1327543795	0.9584923664
493	0.1325976164	0.9584923664
494	0.1324929048	0.9584923664
495	0.1323834746	0.9586832061
496	0.1322403253	0.9583969466
497	0.1321991316	0.9583969466
498	0.1321366533	0.9583969466
499	0.1318797898	0.9585877863
500	0.1317581728	0.9586832061
501	0.1315988363	0.9586832061
502	0.1314723519	0.958778626
503	0.1312668953	0.958778626
504	0.1311698298	0.9586832061
505	0.131005219	0.9590648855
506	0.1308555938	0.9590648855
507	0.1307242146	0.959351145
508	0.130608257	0.959351145
509	0.1305599333	0.9594465649
510	0.1305009748	0.9594465649
511	0.1303927264	0.9596374046
512	0.1302928921	0.9594465649
513	0.1301533692	0.9596374046
514	0.1300457884	0.9596374046
515	0.1298672783	0.9596374046
516	0.129758579	0.9597328244
517	0.1296516667	0.9597328244
518	0.1294825943	0.9598282443
519	0.12936031	0.9602099237
520	0.1291945824	0.9601145038
521	0.1290712554	0.9602099237
522	0.1290274976	0.9603053435
523	0.1288790968	0.9602099237
524	0.1287500737	0.9602099237
525	0.1285861189	0.9604007634
526	0.1285016842	0.9604007634
527	0.128399017	0.9604961832
528	0.1281807868	0.9606870229
529	0.1279848695	0.9606870229
530	0.1278974407	0.9605916031
531	0.1278677272	0.9605916031
532	0.1277874676	0.9606870229
533	0.1277089619	0.9606870229
534	0.1275948204	0.9607824427
535	0.1274732239	0.9609732824
536	0.1273607648	0.9609732824
537	0.1272547729	0.9609732824
538	0.1271685216	0.9610687023
539	0.1270021856	0.9613549618
540	0.1268838457	0.9615458015
541	0.1267996614	0.9617366412
542	0.1266862937	0.9613549618
543	0.1265465631	0.9613549618
544	0.1264880961	0.9614503817
545	0.1262395757	0.9615458015
546	0.1261017277	0.9615458015
547	0.1259799426	0.9620229008
548	0.1259037385	0.9620229008
549	0.1258917784	0.9620229008
550	0.1257295241	0.9624045802
551	0.1255977458	0.9625954198
552	0.1254034219	0.9626908397
553	0.1253228522	0.9628816794
554	0.1252456707	0.9628816794
555	0.1251567492	0.9629770992
556	0.1250655801	0.9630725191
557	0.1249824763	0.9629770992
558	0.1249540642	0.9631679389
559	0.1248175915	0.9630725191
560	0.124760953	0.9630725191
561	0.1246612291	0.9630725191
562	0.1244685171	0.9630725191
563	0.1243754092	0.9631679389
564	0.1242377328	0.9630725191
565	0.1241447566	0.9630725191
566	0.1240348353	0.9630725191
567	0.1238925417	0.9630725191
568	0.1237759229	0.9631679389
569	0.1236030898	0.9631679389
570	0.1235306593	0.9631679389
571	0.123414866	0.9636450382
572	0.1233036516	0.9635496183
573	0.1232416816	0.9636450382
574	0.1231122978	0.9638358779
575	0.1229960206	0.9636450382
576	0.1229068961	0.9635496183
577	0.1228175568	0.9638358779
578	0.1226384723	0.9643129771
579	0.1225172301	0.9643129771
580	0.1223852457	0.9644083969
581	0.1222774186	0.9644083969
582	0.1221524429	0.9644083969
583	0.1220311587	0.9645038168
584	0.1218883526	0.9643129771
585	0.1217762032	0.9644083969
586	0.1216885567	0.9643129771
587	0.1215671149	0.9645992366
